"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 10 08:10:40 GMT 2024","Thu Oct 10 08:10:40 GMT 2024","0","chromium","purchase.spec.ts","","","","API preconditions for Checkout",""
"passed","Thu Oct 10 08:09:56 GMT 2024","Thu Oct 10 08:10:00 GMT 2024","4550","chromium","createUser.spec.ts","","","","Sign up via API",""
"passed","Thu Oct 10 08:09:50 GMT 2024","Thu Oct 10 08:09:51 GMT 2024","881","chromium","createUser.spec.ts","","","","API SignUp Incorrect Email format",""
"passed","Thu Oct 10 08:09:51 GMT 2024","Thu Oct 10 08:09:56 GMT 2024","4609","chromium","createUser.spec.ts","","","","Sign up",""
"passed","Thu Oct 10 08:10:27 GMT 2024","Thu Oct 10 08:10:31 GMT 2024","4196","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Empty Password",""
"passed","Thu Oct 10 08:10:09 GMT 2024","Thu Oct 10 08:10:13 GMT 2024","4177","chromium","createUser.spec.ts","","","","Sign up. Password validation",""
"passed","Thu Oct 10 08:10:00 GMT 2024","Thu Oct 10 08:10:05 GMT 2024","4814","chromium","createUser.spec.ts","","","","Sign in via API",""
"passed","Thu Oct 10 08:10:22 GMT 2024","Thu Oct 10 08:10:27 GMT 2024","4424","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email format",""
"broken","Thu Oct 10 08:20:49 GMT 2024","Thu Oct 10 08:25:49 GMT 2024","300008","chromium","purchase.spec.ts","","","","env",""
"passed","Thu Oct 10 08:10:18 GMT 2024","Thu Oct 10 08:10:22 GMT 2024","4612","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email",""
"passed","Thu Oct 10 08:10:05 GMT 2024","Thu Oct 10 08:10:09 GMT 2024","3746","chromium","createUser.spec.ts","","","","Sign up. Email validation",""
"passed","Thu Oct 10 08:10:13 GMT 2024","Thu Oct 10 08:10:18 GMT 2024","4602","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect password",""
"passed","Thu Oct 10 08:10:31 GMT 2024","Thu Oct 10 08:10:40 GMT 2024","9507","chromium","purchase.spec.ts","","","","Continue shoping with API registration",""
