"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 07:47:47 GMT 2024","Thu Oct 10 07:47:51 GMT 2024","4515","chromium","createUser.spec.ts","","","","Sign up",""
"passed","Thu Oct 10 07:48:09 GMT 2024","Thu Oct 10 07:48:14 GMT 2024","4745","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect password",""
"passed","Thu Oct 10 07:48:27 GMT 2024","Thu Oct 10 07:48:36 GMT 2024","9605","chromium","purchase.spec.ts","","","","Continue shoping with API registration",""
"passed","Thu Oct 10 07:48:01 GMT 2024","Thu Oct 10 07:48:05 GMT 2024","3728","chromium","createUser.spec.ts","","","","Sign up. Email validation",""
"broken","Thu Oct 10 07:58:38 GMT 2024","Thu Oct 10 08:03:38 GMT 2024","300008","chromium","purchase.spec.ts","","","","API preconditions for Checkout",""
"passed","Thu Oct 10 07:48:22 GMT 2024","Thu Oct 10 07:48:27 GMT 2024","4379","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Empty Password",""
"passed","Thu Oct 10 07:47:44 GMT 2024","Thu Oct 10 07:47:45 GMT 2024","840","chromium","createUser.spec.ts","","","","API SignUp Incorrect Email format",""
"passed","Thu Oct 10 07:48:14 GMT 2024","Thu Oct 10 07:48:18 GMT 2024","4280","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email",""
"passed","Thu Oct 10 07:47:56 GMT 2024","Thu Oct 10 07:48:01 GMT 2024","4716","chromium","createUser.spec.ts","","","","Sign in via API",""
"passed","Thu Oct 10 07:47:51 GMT 2024","Thu Oct 10 07:47:56 GMT 2024","4764","chromium","createUser.spec.ts","","","","Sign up via API",""
"broken","Thu Oct 10 08:03:38 GMT 2024","Thu Oct 10 08:08:38 GMT 2024","300008","chromium","purchase.spec.ts","","","","env",""
"passed","Thu Oct 10 07:48:05 GMT 2024","Thu Oct 10 07:48:09 GMT 2024","4391","chromium","createUser.spec.ts","","","","Sign up. Password validation",""
"passed","Thu Oct 10 07:48:18 GMT 2024","Thu Oct 10 07:48:22 GMT 2024","4143","chromium","loginValidation.spec.ts","Login Validation","","","Login validation. Incorrect Email format",""
